Age_Group,Gender,City_Tier,Occupation,Income,Fashion_Style,Fashion_Importance,Style_Approach,Shopping_Frequency,Shopping_Channel,Browsing_Time,Product_Type,Combo_Purchase,Color_Preference,Fit,Avg_Order_Value,Monthly_Budget,Price_Reaction,Decision_Factor,Discount_Importance,Discount_Trigger,Pain_Point,New_Brand_Trigger,Purchase_Intent_30d
18-24,Male,Tier 2,Student,<10k,Trendy,High,Comfort first,Occasional,Offline,5hr+,Jackets,Dress+Accessories,Bright,Oversized,500-1000,1000-3000,Buy less,Influencer,Medium,10-20%,Quality,Trendy,Not Sure
45+,Male,Tier 3,Student,1L+,Bold,Medium,Follow trends,Monthly,Both,5hr+,Tops,Dress+Accessories,Pastel,Regular,5000+,<1000,Switch brand,Quality,High,60%+,Returns,Influencer,Definitely
35-44,Female,Tier 2,Business Owner,25k-50k,Classic,Low,Follow trends,Monthly,Both,5hr+,Jackets,Top+Jeans,Dark,Oversized,500-1000,3000-7000,Still buy,Price,Low,10-20%,Size,Affordable,Probably Not
25-34,Male,Tier 1,Other,10k-25k,Minimalist,High,Comfort first,Rare,Online,<1hr,Co-ords,Top+Jeans,Bright,Regular,2000-5000,1000-3000,Switch brand,Brand,Low,60%+,Size,Reviews,Probably
18-24,Male,Tier 1,Other,<10k,Minimalist,High,Follow trends,Monthly,Online,1-3hr,Jackets,Top+Jeans,Neutral,Oversized,2000-5000,3000-7000,Buy less,Influencer,Medium,40-60%,Quality,Reviews,Probably
18-24,Female,Tier 1,Business Owner,10k-25k,Minimalist,Medium,Comfort first,Monthly,Both,1-3hr,Jackets,Dress+Accessories,Bright,Regular,1000-2000,3000-7000,Switch brand,Influencer,Low,60%+,Delivery,Trendy,Not Sure
18-24,Male,Tier 1,Homemaker,<10k,Minimalist,High,Follow trends,Monthly,Online,5hr+,Tops,None,Bright,Regular,<500,<1000,Switch brand,Brand,Low,20-40%,Returns,Influencer,Not Sure
35-44,Female,Tier 2,Student,25k-50k,Minimalist,High,Comfort first,Monthly,Both,5hr+,Dresses,None,Pastel,Regular,5000+,3000-7000,Buy less,Reviews,Low,40-60%,Quality,Reviews,Not Sure
25-34,Male,Tier 2,Student,1L+,Minimalist,Low,Follow trends,Weekly,Offline,<1hr,Jeans,Top+Jeans,Dark,Oversized,<500,3000-7000,Buy less,Influencer,High,20-40%,Quality,Trendy,Probably
35-44,Female,Tier 1,Business Owner,25k-50k,Bold,High,Comfort first,Rare,Online,5hr+,Co-ords,Top+Jeans,Dark,Oversized,<500,<1000,Still buy,Price,High,20-40%,Returns,Reviews,Definitely Not
